@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE FFT_intensity NUMERIC
@ATTRIBUTE class {talking, chewing}

@DATA
41210, -10819, 52029, 4629, 7.95817488729, 130478.077941, chewing
34856, -10819, 45675, 4501, 7.56897142078, 117139.202694, chewing
49868, -8370, 58238, 4800, 8.58234186931, 129771.030193, chewing
49868, -9267, 59135, 4814, 8.16061285483, 141418.396371, chewing
23621, -9267, 32888, 4414, 7.21171314378, 90943.535747, chewing
52540, -8258, 60798, 4604, 8.24883482305, 129716.565497, chewing
52540, -16708, 69248, 4708, 8.59034186931, 123770.960359, chewing
29687, -63519, 93206, 4949, 7.83616983238, 122338.872631, chewing
47884, -63519, 111403, 5105, 8.28319689978, 166060.556789, chewing
47884, -6226, 54110, 4776, 8.70955801679, 135578.566442, chewing
42490, -23797, 66287, 4274, 7.8112224385, 122674.432889, chewing
21717, -25558, 47275, 4192, 7.54981678512, 99077.2119403, chewing
49276, -25558, 74834, 5040, 8.59257240903, 142650.824513, chewing
49276, -11875, 61151, 5119, 8.46803003707, 136659.591327, chewing
24630, -11875, 36505, 4301, 7.61133634474, 97410.0575455, chewing
60318, -7617, 67935, 4102, 8.32562788459, 142613.934943, chewing
60318, -2544, 62862, 4549, 8.83297154075, 132794.943788, chewing
39946, -7586, 47532, 4319, 8.01672563464, 123297.765069, chewing
21221, -9442, 30663, 4060, 7.42824250519, 88838.1511176, chewing
38057, -9442, 47499, 4407, 8.39695524528, 115602.033649, chewing
38057, -4865, 42922, 4499, 8.49530748644, 112100.702546, chewing
27159, -5985, 33144, 4110, 7.54128746011, 88343.6025725, chewing
40745, -7889, 48634, 3902, 7.93525903461, 115397.181656, chewing
55613, -7889, 63502, 4597, 8.69864902183, 130258.852897, chewing
55613, -8594, 64207, 4747, 8.23066757477, 145678.261687, chewing
47803, -8594, 56397, 4515, 8.03591506715, 129452.418966, chewing
56061, -5138, 61199, 4961, 8.73355801679, 138646.419915, chewing
56061, -21205, 77266, 4648, 8.3166333826, 149215.939063, chewing
50700, -21205, 71905, 4450, 8.15979561616, 146262.576961, chewing
50700, -5953, 56653, 4679, 8.80183594776, 134358.00406, chewing
48235, -12275, 60510, 4473, 8.3206333826, 149443.952107, chewing
40762, -12275, 53037, 4461, 7.75911118236, 111804.306428, chewing
40762, -14675, 55437, 4382, 7.57199097079, 115172.75076, chewing
47515, -14675, 62190, 4422, 8.1126470143, 133570.185951, chewing
47515, -7682, 55197, 4785, 8.70555801679, 125571.205456, chewing
41658, -10146, 51804, 4349, 7.75061643089, 114752.233543, chewing
56862, -10146, 67008, 4340, 8.02368466229, 139299.046381, chewing
56862, -3456, 60318, 4685, 8.76966857184, 130612.242467, chewing
54093, -11635, 65728, 4804, 8.01941855814, 134832.798065, chewing
53005, -11635, 64640, 4732, 8.14344763818, 142936.010927, chewing
53005, -6673, 59678, 4588, 8.62785164431, 131056.044017, chewing
40889, -9954, 50843, 4194, 7.66404508392, 118730.611792, chewing
55774, -9954, 65728, 4243, 7.70990476977, 141620.725376, chewing
55774, -9026, 64800, 4833, 8.68005951844, 136025.659001, chewing
46988, -15123, 62111, 4450, 8.26168712478, 140653.527417, chewing
28919, -15123, 44042, 4060, 7.58721162731, 101618.797315, chewing
52796, -12307, 65103, 4282, 8.42501048706, 121530.901762, chewing
52796, -12531, 65327, 4301, 8.3021431576, 131598.898382, chewing
27126, -12531, 39657, 3916, 7.28952439826, 86353.7448403, chewing
47644, -6929, 54573, 4103, 8.16874871422, 122919.653575, chewing
47644, -7730, 55374, 4576, 8.4547749606, 124772.73311, chewing
21253, -7730, 28983, 4562, 7.63790476977, 94385.936316, chewing
18772, -9138, 27910, 4117, 7.17669359378, 83555.5397765, chewing
18708, -12707, 31415, 3938, 7.20279224793, 84580.8716482, chewing
29912, -55757, 85669, 4437, 8.11372916421, 123143.659883, chewing
29912, -55757, 85669, 4503, 8.10442808818, 123885.431708, chewing
22405, -10163, 32568, 4363, 7.7312224385, 95933.6671587, chewing
22405, -10163, 32568, 4189, 7.8452818132, 90218.1711257, chewing
26631, -8034, 34665, 3871, 8.19750361992, 91209.2664492, chewing
26631, -6753, 33384, 3764, 8.27924164611, 92711.5185252, chewing
23958, -9634, 33592, 3952, 7.76553087759, 89200.8640403, chewing
26038, -9634, 35672, 4338, 8.23656923457, 97731.0334643, chewing
27542, -11746, 39288, 4205, 7.99423540964, 100935.728842, chewing
30280, -11746, 42026, 4174, 7.83025586154, 105580.060088, chewing
43179, -11139, 54318, 4263, 8.43379771144, 110316.911639, chewing
43179, -12467, 55646, 3989, 7.97237538589, 118388.792205, chewing
20020, -12467, 32487, 3776, 7.55112414135, 86550.0252189, chewing
27751, -4593, 32344, 4108, 8.37824563559, 98023.6228059, chewing
27751, -14627, 42378, 4233, 8.41020514846, 103740.68392, chewing
22454, -14627, 37081, 4062, 8.00034988814, 90597.9905508, chewing
46267, -5537, 51804, 4104, 8.58506215016, 120906.685679, chewing
46267, -7058, 53325, 3910, 8.38181007114, 115712.053627, chewing
42011, -12403, 54414, 4589, 8.27309855958, 133531.190644, chewing
62287, -13763, 76050, 4822, 8.29512360759, 146275.197813, chewing
62287, -13763, 76050, 4544, 8.34882497721, 155109.420864, chewing
54173, -5841, 60014, 4682, 8.66134348914, 140407.967106, chewing
36985, -10243, 47228, 4271, 7.99742484216, 113797.760553, chewing
50748, -10243, 60991, 4426, 8.3121068097, 129462.991856, chewing
50748, -6369, 57117, 4661, 8.43752291159, 129069.77286, chewing
46411, -8418, 54829, 4429, 7.92715533728, 115240.485109, chewing
48523, -8418, 56941, 4637, 8.34882497721, 121703.516142, chewing
48523, -8706, 57229, 4731, 7.94866511228, 136159.363623, chewing
36825, -8706, 45531, 4355, 7.83852102404, 118570.149018, chewing
48843, -7458, 56301, 4272, 8.66615720961, 121541.85286, chewing
48843, -7938, 56781, 4099, 8.34298818098, 134113.173462, chewing
20725, -7938, 28663, 3613, 7.60687877181, 84245.2676531, chewing
50044, -6066, 56110, 4101, 8.37361574075, 118687.393077, chewing
50044, -5586, 55630, 4241, 8.55249103453, 122031.025041, chewing
56653, -6210, 62863, 4038, 8.40200080954, 127745.402319, chewing
56653, -6210, 62863, 4390, 8.69139738586, 128587.141684, chewing
42778, -6529, 49307, 4545, 8.45971492347, 117230.586623, chewing
47163, -6529, 53692, 4520, 8.67219630962, 124290.704356, chewing
47163, -9858, 57021, 4438, 8.23234098338, 130107.989259, chewing
42778, -9858, 52636, 4535, 7.71446908903, 127523.352492, chewing
49052, -5346, 54398, 4484, 8.56651161194, 128669.266385, chewing
49052, -9411, 58463, 3822, 8.23837911568, 140179.853279, chewing
23334, -9411, 32745, 3752, 7.62292021401, 88318.5130231, chewing
43322, -11187, 54509, 4746, 8.41441246863, 116743.989311, chewing
43322, -11187, 54509, 4802, 8.38331984614, 125124.984845, chewing
33305, -9250, 42555, 4206, 8.26388889068, 115808.602978, chewing
33305, -14323, 47628, 4365, 8.45174518464, 113897.282777, chewing
28646, -15987, 44633, 4713, 7.83772653652, 112947.061448, chewing
