@RELATION test

@ATTRIBUTE max NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE range NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE entropy NUMERIC
@ATTRIBUTE class {talking, chewing, swallow}

@DATA
9666, 5921, 3745, 35, 7.05201337262, chewing
7953, 5761, 2192, 20, 5.96477300219, chewing
7057, 5761, 1296, 23, 5.75125401502, chewing
7057, 5665, 1392, 23, 6.04929066411, chewing
6673, 5553, 1120, 21, 5.47451735037, chewing
9090, 5553, 3537, 34, 6.22352529999, chewing
9090, 6049, 3041, 34, 6.90771723693, chewing
7809, 5457, 2352, 20, 6.48847723713, chewing
8065, 5457, 2608, 26, 6.03624753419, chewing
8065, 5537, 2528, 28, 6.40382122345, chewing
7921, 5761, 2160, 20, 6.15282908371, chewing
8962, 5761, 3201, 31, 6.18616455474, chewing
10642, 6113, 4529, 48, 7.12009157265, chewing
10642, 6273, 4369, 36, 7.18067256076, chewing
8129, 6177, 1952, 22, 5.98288283501, chewing
6945, 6049, 896, 21, 5.17715846268, chewing
8274, 5905, 2369, 26, 5.8248085473, chewing
9106, 5905, 3201, 34, 6.47321756974, chewing
9106, 6657, 2449, 29, 6.3103605974, chewing
7313, 6033, 1280, 22, 5.66855751277, chewing
6817, 6033, 784, 23, 5.27863883369, chewing
6689, 6065, 624, 22, 4.98289304268, chewing
6817, 5905, 912, 21, 4.79726578361, chewing
8610, 5905, 2705, 30, 6.0304915639, chewing
8610, 6113, 2497, 29, 6.64562506304, chewing
7457, 5809, 1648, 18, 5.79257166308, chewing
6129, 4753, 1376, 25, 5.43915282765, chewing
6721, 4753, 1968, 34, 5.92481013514, chewing
6993, 5105, 1888, 35, 6.08597211137, chewing
6993, 5441, 1552, 31, 6.11073462571, chewing
8466, 5409, 3057, 40, 6.12546932329, chewing
8466, 5409, 3057, 44, 6.81759993688, chewing
7665, 5201, 2464, 35, 6.65245211097, chewing
6433, 5201, 1232, 35, 5.82997211137, chewing
6433, 4401, 2032, 30, 6.31722626148, chewing
5889, 4385, 1504, 26, 5.82605593679, chewing
8978, 4385, 4593, 44, 6.45184255503, chewing
9378, 5585, 3793, 52, 6.85089067287, chewing
9378, 5249, 4129, 35, 6.82337931063, chewing
6817, 5249, 1568, 30, 5.96275438265, chewing
6545, 4993, 1552, 34, 6.1312177462, chewing
6545, 4689, 1856, 32, 6.28419525176, chewing
7377, 4689, 2688, 37, 6.63303309908, chewing
7377, 5121, 2256, 38, 6.65810272496, chewing
6497, 4401, 2096, 27, 6.35607526111, chewing
5137, 4369, 768, 21, 5.11365365336, chewing
4833, 4369, 464, 21, 4.5925129053, chewing
6929, 4545, 2384, 31, 5.57364924933, chewing
7633, 4833, 2800, 41, 6.61630986121, chewing
7633, 5969, 1664, 40, 6.26743273742, chewing
7009, 5505, 1504, 39, 6.20535722798, chewing
7009, 5361, 1648, 34, 6.03521228762, chewing
6881, 4657, 2224, 26, 6.27480184989, chewing
